Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g1	0	0	0	0	0	0	0	0
g10	0	0	0	0	0	0	0	0
g100	5	14	4	4	10	3	0	0
g1000	0	0	0	0	0	0	3	3
g10000	0	0	0	0	0	0	0	0
g10001	0	0	0	0	0	0	0	0
g10002	0	0	0	0	0	0	0	0
g10003	0	0	0	0	0	0	0	0
g10004	0	0	0	0	3	0	0	0
g10005	6	6	0	0	2	4	3	3
g10006	0	5	0	0	0	0	1	1
g10007	9	0	6	6	10	11	6	6
g10008	2	8	22	22	8	14	13	13
g10009	0	0	0	0	0	0	0	0
g1001	4	0	0	0	6	0	0	0
g10010	4	0	0	0	0	0	3	3
g10011	5	2	0	0	0	6	0	0
g10012	0	0	0	0	0	0	0	0
g10013	6	8	9	9	7	5	4	4
g10014	0	6	5	5	0	0	0	0
g10015	0	0	0	0	0	0	0	0
g10016	6	2	0	0	0	0	3	3
g10017	18	24	15	15	19	10	19	19
g10018	0	0	4	4	0	2	0	0
g10019	0	2	7	7	4	0	0	0
g1002	0	0	1	1	0	3	0	0
g10020	4	4	10	10	6	12	4	4
g10021	12	0	8	8	8	0	14	14
g10022	870	1555	1035	1035	1564	1448	1345	1345
g10023	6	21	11	11	11	8	2	2
g10024	0	4	0	0	3	3	0	0
g10025	0	0	0	0	0	0	5	5
g10026	0	4	0	0	6	6	2	2
g10027	0	0	0	0	0	0	0	0
g10028	0	0	0	0	0	0	0	0
g10029	0	0	0	0	0	0	0	0
g1003	0	0	0	0	0	0	0	0
g10030	0	0	0	0	0	0	0	0
g10031	8	12	0	0	12	13	10	10
g10032	4	4	3	3	6	2	2	2
g10033	8	0	8	8	6	0	2	2
g10034	1	0	0	0	0	0	0	0
g10035	4	0	0	0	0	3	4	4
g10036	21	27	21	21	14	24	23	23
g10037	86	74	116	116	95	76	82	82
g10038	0	0	0	0	0	0	0	0
g10039	0	0	0	0	2	0	0	0
g1004	0	0	0	0	0	0	0	0
g10040	0	0	0	0	0	0	0	0
g10041	2	8	2	2	0	0	4	4
g10042	4	4	0	0	0	11	0	0
g10043	4	0	0	0	2	9	1	1
g10044	4	0	0	0	5	0	3	3
g10045	4	10	4	4	11	3	8	8
g10046	13	0	3	3	2	0	0	0
g10047	0	0	0	0	0	2	0	0
