Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g1.t1	0	0	0	0	0	0	0	0
g10.t1	0	0	0	0	0	0	0	0
g100.t1	5	14	4	4	10	3	0	0
g1000.t1	0	0	0	0	0	0	3	3
g10000.t1	0	0	0	0	0	0	0	0
g10001.t1	0	0	0	0	0	0	0	0
g10002.t1	0	0	0	0	0	0	0	0
g10002.t2	0	0	0	0	0	0	0	0
g10003.t1	0	0	0	0	0	0	0	0
g10004.t1	0	0	0	0	3	0	0	0
g10005.t1	6	6	0	0	2	4	3	3
g10006.t1	0	5	0	0	0	0	1	1
g10007.t1	9	0	6	6	10	11	6	6
g10008.t1	2	8	22	22	8	14	13	13
g10009.t1	0	0	0	0	0	0	0	0
g1001.t1	4	0	0	0	6	0	0	0
g10010.t1	4	0	0	0	0	0	3	3
g10010.t2	0	0	0	0	0	0	0	0
g10011.t1	5	2	0	0	0	6	0	0
g10012.t1	0	0	0	0	0	0	0	0
g10012.t2	0	0	0	0	0	0	0	0
g10012.t3	0	0	0	0	0	0	0	0
g10013.t1	6	8	9	9	7	5	4	4
g10014.t1	0	6	5	5	0	0	0	0
g10015.t1	0	0	0	0	0	0	0	0
g10016.t1	0	0	0	0	0	0	0	0
g10016.t2	0	0	0	0	0	0	0	0
g10016.t3	0	0	0	0	0	0	0	0
g10016.t4	6	2	0	0	0	0	3	3
g10016.t5	0	0	0	0	0	0	0	0
g10017.t1	18	24	15	15	19	10	19	19
g10018.t1	0	0	4	4	0	2	0	0
g10019.t1	0	2	7	7	4	0	0	0
g1002.t1	0	0	1	1	0	3	0	0
g10020.t1	4	4	10	10	6	12	4	4
g10021.t1	12	0	8	8	8	0	14	14
g10022.t2	790	1370	1008	1008	1425	1269	1219	1219
g10022.t3	0	0	0	0	71	91	64	64
g10022.t4	80	185	27	27	68	88	62	62
g10023.t1	6	21	11	11	11	8	2	2
g10024.t1	0	4	0	0	3	3	0	0
g10025.t1	0	0	0	0	0	0	1	1
g10025.t2	0	0	0	0	0	0	4	4
g10026.t1	0	4	0	0	6	6	2	2
g10027.t1	0	0	0	0	0	0	0	0
g10028.t1	0	0	0	0	0	0	0	0
g10029.t1	0	0	0	0	0	0	0	0
g1003.t1	0	0	0	0	0	0	0	0
g10030.t1	0	0	0	0	0	0	0	0
g10031.t1	8	12	0	0	12	13	10	10
g10032.t1	4	4	3	3	6	2	2	2
g10033.t1	8	0	8	8	6	0	2	2
g10034.t1	1	0	0	0	0	0	0	0
g10035.t1	4	0	0	0	0	3	4	4
g10036.t1	21	27	21	21	14	24	23	23
g10037.t1	86	74	116	116	95	76	82	82
g10038.t1	0	0	0	0	0	0	0	0
g10039.t1	0	0	0	0	0	0	0	0
g10039.t2	0	0	0	0	2	0	0	0
g1004.t1	0	0	0	0	0	0	0	0
g10040.t1	0	0	0	0	0	0	0	0
g10041.t1	2	8	2	2	0	0	4	4
g10042.t1	4	4	0	0	0	11	0	0
g10043.t1	0	0	0	0	2	3	1	1
g10043.t2	4	0	0	0	0	6	0	0
g10044.t1	4	0	0	0	2	0	0	0
g10044.t2	0	0	0	0	3	0	3	3
g10045.t1	0	7	0	0	0	0	0	0
g10045.t2	4	3	4	4	11	3	8	8
g10046.t1	13	0	3	3	2	0	0	0
g10047.t1	0	0	0	0	0	2	0	0
g10048.t1	0	0	0	0	0	0	0	0
g10049.t1	2	0	7	7	0	0	1	1
g10049.t2	6	6	0	0	0	0	1	1
g1005.t1	8	12	34	34	8	6	6	6
g10050.t1	0	4	0	0	0	0	0	0
g10051.t1	8	13	4	4	0	21	8	8
g10052.t1	0	0	0	0	0	0	3	3
g10053.t1	0	0	0	0	0	0	0	0
g10054.t1	21	18	24	24	38	31	23	23
g10055.t1	6	0	0	0	15	0	3	3
g10056.t1	17	28	22	22	22	19	14	14
g10057.t1	0	19	8	8	0	2	4	4
g10058.t1	0	4	0	0	0	6	0	0
g10059.t1	0	0	0	0	0	0	0	0
g10059.t2	3	0	2	2	0	0	0	0
g1006.t1	0	0	0	0	0	0	0	0
g10060.t1	3	3	0	0	0	2	0	0
g10061.t1	8	0	0	0	2	8	6	6
g10062.t1	115	115	74	74	111	83	36	36
g10063.t1	0	0	0	0	0	0	0	0
g10063.t2	0	0	3	3	0	0	0	0
g10064.t1	2	0	0	0	0	4	0	0
g10065.t1	0	0	0	0	0	0	0	0
g10065.t2	0	0	0	0	0	0	0	0
g10066.t1	41	51	29	29	66	57	42	42
g10067.t1	0	0	0	0	0	4	4	4
g10067.t2	0	0	0	0	0	0	0	0
g10067.t3	0	0	0	0	0	0	0	0
g10067.t4	0	0	0	0	0	0	0	0
g10067.t5	20	22	12	12	20	15	19	19
g10068.t1	23	0	0	0	0	10	20	20
g10068.t2	1	16	8	8	0	3	0	0
g10069.t1	0	0	0	0	0	0	0	0
g1007.t1	0	0	2	2	0	0	6	6
g1007.t2	0	0	0	0	0	0	0	0
g10070.t1	21	41	32	32	42	53	28	28
g10071.t1	0	0	0	0	0	0	0	0
g10072.t1	4	0	2	2	0	0	0	0
g10073.t1	4	13	6	6	10	0	0	0
g10074.t1	326	241	276	276	185	348	255	255
g10075.t1	209	135	123	123	132	133	116	116
g10076.t1	2	0	0	0	0	0	0	0
g10077.t1	0	0	4	4	4	0	0	0
g10078.t1	10	0	0	0	15	0	5	5
g10079.t1	8	2	0	0	0	4	0	0
g10079.t2	0	0	0	0	0	0	0	0
g1008.t1	0	0	4	4	0	0	0	0
g10080.t1	0	4	3	3	0	0	0	0
g10081.t1	19	25	19	19	15	17	28	28
g10082.t1	65	109	62	62	78	78	71	71
g10083.t1	0	0	0	0	10	0	0	0
g10084.t1	0	0	0	0	0	0	0	0
g10085.t1	16	10	16	16	9	14	17	17
g10085.t2	3	0	0	0	0	0	0	0
g10086.t1	92	97	65	65	133	72	85	85
g10087.t1	2	12	7	7	8	8	4	4
g10088.t1	0	6	9	9	0	8	12	12
g10089.t1	0	0	3	3	0	0	0	0
g1009.t1	0	4	0	0	0	0	18	18
g1009.t2	10	8	13	13	16	11	0	0
g10090.t1	0	0	0	0	0	0	0	0
g10091.t1	0	0	0	0	0	3	4	4
g10092.t1	10	2	2	2	0	11	0	0
g10093.t1	0	0	0	0	0	0	3	3
g10094.t1	2	0	0	0	4	0	0	0
g10095.t1	0	0	0	0	0	0	0	0
g10096.t1	0	0	0	0	0	0	0	0
g10097.t1	22	11	5	5	0	16	9	9
g10098.t1	9	18	13	13	12	8	11	11
g10099.t1	11	8	4	4	4	6	11	11
g101.t1	0	9	6	6	8	0	0	0
g1010.t1	2	4	3	3	10	0	12	12
g10100.t1	0	0	0	0	0	0	0	0
g10100.t2	0	0	0	0	0	0	0	0
g10100.t3	0	0	0	0	0	0	0	0
g10100.t4	4	0	0	0	0	0	0	0
g10100.t5	0	0	0	0	0	0	0	0
g10100.t6	0	0	0	0	0	0	0	0
g10100.t7	0	0	0	0	0	0	0	0
g10100.t8	13	4	7	7	10	6	8	8
g10100.t9	0	0	0	0	0	0	0	0
g10101.t1	0	0	0	0	0	0	0	0
g10102.t1	0	0	0	0	0	0	0	0
g10103.t1	0	0	0	0	0	0	0	0
g10104.t1	0	0	0	0	0	0	0	0
g10105.t1	0	0	0	0	0	0	0	0
g10106.t1	3	4	0	0	8	4	2	2
g10107.t1	0	0	0	0	0	0	0	0
g10108.t1	0	0	16	16	0	0	0	0
g10109.t1	0	0	0	0	0	0	2	2
g1011.t1	5	4	4	4	4	7	5	5
g10110.t1	0	0	0	0	0	0	0	0
g10110.t2	0	0	0	0	0	0	0	0
g10111.t1	0	0	0	0	0	0	0	0
g10112.t1	6	4	0	0	3	6	0	0
g10113.t1	0	0	0	0	0	0	0	0
g10114.t1	0	0	0	0	0	0	0	0
g10115.t1	16	18	9	9	12	21	16	16
g10116.t1	10	10	18	18	13	20	19	19
g10116.t2	4	0	0	0	0	0	0	0
g10117.t1	4	0	2	2	2	2	8	8
g10118.t1	0	0	0	0	0	0	0	0
g10119.t1	0	2	0	0	0	0	0	0
g1012.t1	0	0	0	0	0	0	0	0
g1012.t2	0	0	0	0	4	0	2	2
g1012.t3	0	0	0	0	0	0	0	0
g1012.t4	0	0	0	0	0	0	0	0
g10120.t1	0	0	0	0	0	0	5	5
g10121.t1	6	8	6	6	4	2	3	3
g10122.t1	0	0	0	0	3	0	0	0
g10123.t1	0	0	4	4	0	0	6	6
g10124.t1	0	2	0	0	0	0	0	0
g10125.t1	0	0	0	0	0	0	0	0
g10126.t1	0	0	0	0	0	0	0	0
g10127.t1	0	0	2	2	0	0	0	0
g10128.t1	0	0	0	0	0	0	0	0
g10129.t1	0	0	0	0	0	0	0	0
g1013.t1	0	0	0	0	0	5	0	0
g10130.t1	0	0	0	0	0	0	0	0
g10130.t2	2	0	0	0	0	0	0	0
g10131.t1	0	0	0	0	0	0	0	0
g10132.t1	0	4	0	0	0	0	0	0
g10133.t1	0	0	0	0	0	2	2	2
g10134.t1	0	2	0	0	3	0	0	0
g10134.t2	0	0	0	0	0	0	0	0
g10135.t1	0	0	0	0	0	0	0	0
g10135.t2	0	0	0	0	0	0	4	4
g10136.t1	0	15	15	15	10	0	14	14
g10137.t1	39	37	17	17	20	28	26	26
g10138.t1	0	0	2	2	0	0	0	0
g10139.t1	3	0	4	4	0	0	0	0
g1014.t1	0	0	0	0	0	0	0	0
g10140.t1	2	0	0	0	0	0	0	0
g10140.t2	0	0	0	0	0	0	0	0
g10141.t1	0	0	0	0	0	0	0	0
g10142.t1	0	0	0	0	0	0	0	0
g10143.t1	0	0	0	0	0	0	0	0
g10144.t1	0	8	0	0	0	4	7	7
g10145.t1	0	0	0	0	0	0	0	0
g10145.t2	0	0	0	0	0	0	0	0
g10146.t1	0	0	0	0	2	2	2	2
g10147.t1	0	0	0	0	0	0	0	0
g10147.t2	0	0	0	0	0	0	0	0
g10148.t1	4	0	0	0	11	3	0	0
g10149.t1	0	0	0	0	0	0	0	0
g1015.t1	24	57	48	48	49	63	56	56
