Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g1.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g100.t1	108.947319	327.606110	89.369652	89.369652	222.292511	69.609062	0.000000	0.000000
g1000.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.393114	13.393114
g10000.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10001.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10002.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10002.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10003.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10004.t1	0.000000	0.000000	0.000000	0.000000	16.018429	0.000000	0.000000	0.000000
g10005.t1	139.754196	125.304100	0.000000	0.000000	47.411488	93.234962	49.593292	49.593292
g10006.t1	0.000000	54.792751	0.000000	0.000000	0.000000	0.000000	13.853980	13.853980
g10007.t1	20.322720	0.000000	14.913489	14.913489	23.389856	24.843554	14.179269	14.179269
g10008.t1	6.374968	25.761917	75.897179	75.897179	24.725195	42.167339	39.408104	39.408104
g10009.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g1001.t1	68.035500	0.000000	0.000000	0.000000	99.157990	0.000000	0.000000	0.000000
g10010.t1	48.406281	0.000000	0.000000	0.000000	0.000000	0.000000	24.977667	24.977667
g10010.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10011.t1	47.851948	17.746387	0.000000	0.000000	0.000000	56.466663	0.000000	0.000000
g10012.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10012.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10012.t3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10013.t1	54.868736	78.083755	100.881241	100.881241	69.626770	41.286186	35.941067	35.941067
g10014.t1	0.000000	24.827883	17.773500	17.773500	0.000000	0.000000	0.000000	0.000000
g10015.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10016.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10016.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10016.t3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10016.t4	17.785261	6.002638	0.000000	0.000000	0.000000	0.000000	9.121100	9.121100
g10016.t5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10017.t1	435.132751	608.733521	404.447418	404.447418	466.165466	244.676910	474.404694	474.404694
g10018.t1	0.000000	0.000000	75.374367	75.374367	0.000000	32.994370	0.000000	0.000000
g10019.t1	0.000000	11.574498	53.718346	53.718346	31.593760	0.000000	0.000000	0.000000
g1002.t1	0.000000	0.000000	41.850296	41.850296	0.000000	106.609543	0.000000	0.000000
g10020.t1	27.161417	35.791882	91.753784	91.753784	54.093006	104.798599	36.500622	36.500622
g10021.t1	74.937035	0.000000	56.127602	56.127602	53.047203	0.000000	91.788429	91.788429
g10022.t2	2437.446533	4270.208008	3368.430176	3368.430176	4495.048340	3869.132812	3873.740234	3873.740234
g10022.t3	0.000000	0.000000	0.000000	0.000000	229.854584	284.916504	208.978012	208.978012
g10022.t4	254.566849	595.706909	91.172165	91.172165	219.129425	275.360443	202.098145	202.098145
g10023.t1	141.934738	493.587097	279.471832	279.471832	251.476334	178.516632	40.538029	40.538029
g10024.t1	0.000000	85.871712	0.000000	0.000000	76.864334	74.115326	0.000000	0.000000
g10025.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062827	0.062827
g10025.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	30.627556	30.627556
g10026.t1	0.000000	59.338100	0.000000	0.000000	92.895866	84.033829	29.560390	29.560390
g10027.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10028.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10029.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g1003.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10030.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10031.t1	169.412094	259.431274	0.000000	0.000000	264.075500	279.468628	222.770264	222.770264
g10032.t1	152.429932	172.475464	124.143845	124.143845	257.235931	60.888119	68.438713	68.438713
g10033.t1	67.605782	0.000000	74.738190	74.738190	57.074070	0.000000	19.170504	19.170504
g10034.t1	3.817647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10035.t1	14.609436	0.000000	0.000000	0.000000	0.000000	7.519506	14.372403	14.372403
g10036.t1	106.808952	141.640442	117.548439	117.548439	74.412483	123.715584	125.288147	125.288147
g10037.t1	451.170105	394.109924	661.291870	661.291870	511.981781	396.239441	444.306732	444.306732
g10038.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10039.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10039.t2	0.000000	0.000000	0.000000	0.000000	21.980759	0.000000	0.000000	0.000000
g1004.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10040.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10041.t1	34.662792	135.625061	35.049095	35.049095	0.000000	0.000000	71.066345	71.066345
g10042.t1	17.741020	17.102402	0.000000	0.000000	0.000000	54.168827	0.000000	0.000000
g10043.t1	0.000000	0.000000	0.000000	0.000000	29.037455	40.560482	14.877960	14.877960
g10043.t2	39.540089	0.000000	0.000000	0.000000	0.000000	66.712990	0.000000	0.000000
g10044.t1	42.764408	0.000000	0.000000	0.000000	16.972271	0.000000	0.000000	0.000000
g10044.t2	0.000000	0.000000	0.000000	0.000000	33.705063	0.000000	28.213860	28.213860
g10045.t1	0.000000	75.811279	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10045.t2	39.456326	31.202911	35.056942	35.056942	107.766273	30.538916	79.098930	79.098930
g10046.t1	60.849522	0.000000	16.374662	16.374662	9.919853	0.000000	0.000000	0.000000
g10047.t1	0.000000	0.000000	0.000000	0.000000	0.000000	6.061399	0.000000	0.000000
g10048.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10049.t1	25.167400	0.000000	103.058716	103.058716	0.000000	0.000000	13.744957	13.744957
g10049.t2	61.505959	64.143234	0.000000	0.000000	0.000000	0.000000	9.585594	9.585594
g1005.t1	49.239548	76.190720	240.416977	240.416977	49.896275	35.747257	40.430786	40.430786
g10050.t1	0.000000	34.934689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10051.t1	51.394451	77.883766	27.846233	27.846233	0.000000	131.120743	46.817211	46.817211
g10052.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.041043	7.041043
g10053.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10054.t1	113.338699	98.766800	141.039948	141.039948	211.437698	164.491058	128.985001	128.985001
g10055.t1	43.837608	0.000000	0.000000	0.000000	124.745270	0.000000	24.368357	24.368357
g10056.t1	119.638268	206.461075	175.387360	175.387360	159.584976	134.603989	106.697319	106.697319
g10057.t1	0.000000	221.486969	99.668121	99.668121	0.000000	21.160278	45.792957	45.792957
g10058.t1	0.000000	14.359086	0.000000	0.000000	0.000000	24.513359	0.000000	0.000000
g10059.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10059.t2	24.295210	0.000000	18.062292	18.062292	0.000000	0.000000	0.000000	0.000000
g1006.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10060.t1	82.585350	79.604729	0.000000	0.000000	0.000000	52.634308	0.000000	0.000000
g10061.t1	53.141888	0.000000	0.000000	0.000000	12.225267	52.516014	41.017578	41.017578
g10062.t1	576.409424	585.488220	401.893494	401.893494	568.904785	409.011322	186.899628	186.899628
g10063.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10063.t2	0.000000	0.000000	15.925347	15.925347	0.000000	0.000000	0.000000	0.000000
g10064.t1	64.787201	0.000000	0.000000	0.000000	0.000000	125.887192	0.000000	0.000000
g10065.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10065.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10066.t1	887.469543	1125.357056	693.271912	693.271912	1477.597168	1227.270020	952.058533	952.058533
g10067.t1	0.000000	0.000000	0.000000	0.000000	0.000000	11.753018	11.703430	11.703430
g10067.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10067.t3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10067.t4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10067.t5	67.040550	74.153465	43.829384	43.829384	68.243210	48.577709	65.035599	65.035599
g10068.t1	173.111038	0.000000	0.000000	0.000000	0.000000	75.552887	155.816467	155.816467
g10068.t2	6.595241	133.660416	66.043991	66.043991	0.000000	16.576220	0.000000	0.000000
g10069.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g1007.t1	0.000000	0.000000	12.160804	12.160804	0.000000	0.000000	37.221077	37.221077
g1007.t2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g10070.t1	130.468857	254.653656	211.049026	211.049026	264.825165	328.183746	181.037018	181.037018
g10071.t1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
